movieID,faqTitle,faqContent,faqUrl
Q2l2aWwgV2Fy,How long is Civil War?,1 hour and 49 minutes,
Q2l2aWwgV2Fy,When was Civil War released?,"April 12, 2024",
Q2l2aWwgV2Fy,What is the IMDb rating of Civil War?,7.4 out of 10,
Q2l2aWwgV2Fy,Who stars in Civil War?,"Kirsten Dunst, Wagner Moura, and Cailee Spaeny",/name/nm0000379/?ref_=ttfaq
Q2l2aWwgV2Fy,Who wrote Civil War?,Alex Garland,/name/nm0307497/?ref_=ttfaq
Q2l2aWwgV2Fy,Who directed Civil War?,Alex Garland,/name/nm0307497/?ref_=ttfaq
Q2l2aWwgV2Fy,Who was the composer for Civil War?,Geoff Barrow and Ben Salisbury,/name/nm0057856/?ref_=ttfaq
Q2l2aWwgV2Fy,Who was the producer of Civil War?,"Andrew Macdonald, Gregory Goodman, and Allon Reich",/name/nm0531602/?ref_=ttfaq
Q2l2aWwgV2Fy,Who was the executive producer of Civil War?,Danny Cohen,/name/nm4522548/?ref_=ttfaq
Q2l2aWwgV2Fy,Who was the cinematographer for Civil War?,Rob Hardy,/name/nm1134771/?ref_=ttfaq
Q2l2aWwgV2Fy,Who was the editor of Civil War?,Jake Roberts,/name/nm1075638/?ref_=ttfaq
Q2l2aWwgV2Fy,What is the plot of Civil War?,"A journey across a dystopian future America, following a team of military-embedded journalists as they race against time to reach DC before rebel factions descend upon the White House.",
Q2l2aWwgV2Fy,What was the budget for Civil War?,$50 million,
Q2l2aWwgV2Fy,How much did Civil War earn at the US box office?,$49.2 million,
Q2l2aWwgV2Fy,What is Civil War rated?,R,
Q2l2aWwgV2Fy,What genre is Civil War?,Action,
Q2l2aWwgV2Fy,,,
Q2l2aWwgV2Fy,,,
Q2hhbGxlbmdlcnM=,When was Challengers released?,"April 26, 2024",
Q2hhbGxlbmdlcnM=,Who stars in Challengers?,"Zendaya, Mike Faist, and Josh O'Connor",/name/nm3918035/?ref_=ttfaq
Q2hhbGxlbmdlcnM=,Who wrote Challengers?,Justin Kuritzkes,/name/nm3936259/?ref_=ttfaq
Q2hhbGxlbmdlcnM=,Who directed Challengers?,Luca Guadagnino,/name/nm0345174/?ref_=ttfaq
Q2hhbGxlbmdlcnM=,Who was the composer for Challengers?,Trent Reznor and Atticus Ross,/name/nm0722153/?ref_=ttfaq
Q2hhbGxlbmdlcnM=,Who was the producer of Challengers?,"Zendaya, Luca Guadagnino, Amy Pascal, and Rachel O'Connor",/name/nm3918035/?ref_=ttfaq
Q2hhbGxlbmdlcnM=,Who was the executive producer of Challengers?,Lorenzo Mieli and Bernard Bellew,/name/nm0585747/?ref_=ttfaq
Q2hhbGxlbmdlcnM=,Who was the cinematographer for Challengers?,Sayombhu Mukdeeprom,/name/nm1178928/?ref_=ttfaq
Q2hhbGxlbmdlcnM=,Who was the editor of Challengers?,Marco Costa,/name/nm8289117/?ref_=ttfaq
Q2hhbGxlbmdlcnM=,What is the plot of Challengers?,"Tashi, a former tennis prodigy turned coach is married to a champion on a losing streak. Her strategy for her husband's redemption takes a surprising turn when he must face off against his former best friend and Tashi's former boyfriend.",
Q2hhbGxlbmdlcnM=,What was the budget for Challengers?,55 million,
Q2hhbGxlbmdlcnM=,What is Challengers rated?,R,
Q2hhbGxlbmdlcnM=,What genre is Challengers?,"Drama, Romance, and Sports",
Q2hhbGxlbmdlcnM=,How many awards has Challengers been nominated for?,1 nomination,
Q2hhbGxlbmdlcnM=,,,
